B131 120.8258 24.5649    50.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2200E-04 3.2100E-04  1   0.0 20211006 99999999
B135 120.6533 24.3331   146.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180910 99999999
B136 120.6587 24.2583   176.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180920 20211220
B136 120.6604 24.2580   176.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20211220 99999999
B137 120.9301 24.1836   626.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20220601 99999999
B138 120.6028 23.9206    42.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180918 99999999
B139 120.5483 23.9209    32.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20190326 99999999
B141 120.4713 23.8321    31.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180919 99999999
B143 120.7632 23.8798   164.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180926 99999999
B145 120.3444 23.9788     2.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181005 99999999
B146 120.4913 24.1609     7.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181003 20210531
B148 120.9277 23.9574   588.9 0 1 CWB  CSMT  FBA 3.2200E-04 3.2300E-04 3.2300E-04  1   0.0 20221229 99999999
B149 120.5232 24.2563     8.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2200E-04  1   0.0 20181207 99999999
B156 120.7192 24.2588   211.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.1500E-04 3.2200E-04  1   0.0 20220427 99999999
B157 120.6981 24.0424    80.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2200E-04 3.2000E-04  1   0.0 20181207 99999999
B158 120.5360 24.0633    19.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2000E-04 3.2000E-04  1   0.0 20181207 20211006
B158 120.5360 24.0633    19.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2000E-04 3.2000E-04  1   0.0 20211006 99999999
